,Payoff at each step k,,,,,,,
,1,2,3,4,5,6,7,8
0,1.23,1.29,1.29,1.29,1.88,1.88,1.88,1.88
1,0.87,0.94,0.94,0.94,0.94,0.24,0.24,0.24
2,1.66,1.66,1.66,1.66,1.66,1.66,1.89,0
3,0,0,0.14,0.14,0.28,0.28,0.28,0.71
4,1,1,1,1,1,1,1,1
5,0.18,0.27,0.27,0.27,0.53,0.53,0.53,0.71
6,0.71,0.61,0.91,0.91,0.91,1.01,1.01,2.03
7,0.33,0.2,0.4,0.4,0.4,0.4,0.4,0.53
8,1.83,1.63,1.63,1.63,1.63,3.05,0,0
9,0.11,0.11,0.33,0.33,0.45,0.45,0.45,0.78
10,5.03,5.03,5.28,5.28,0,0,0,0
11,5.68,6.42,7.52,0,0,0,0,0
12,6.03,6.66,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,3.99,4.73,4.73,4.73,4.73,0,0,0
16,0.33,0.4,0.4,0.4,0.4,0.73,0.73,1.12
17,10.34,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0.19,0.28,0.28,0.28,0.38,0.38,0.38,0.38
20,0.21,0.21,0.36,0.36,0.36,0.36,0.36,0.36
21,0.06,0.06,0.06,0.06,0.18,0.18,0.29,0.29
22,0.56,0.47,0.66,0.66,0.66,0.66,0.66,0.66
23,0.33,0.33,0.46,0.46,0.73,0.73,0.73,0.92
24,0,0,0,0,0.22,0.22,0.22,0.22
25,0,0,0,0,0,0,0,0
26,0.32,0.42,0.42,0.42,0.53,0.53,0.42,0.42
27,0.44,0.16,0.49,0.49,0.66,0.66,0.66,0.66
28,0.42,0.42,0.53,0.53,0.63,0.63,0.32,0.32
29,0.51,0.64,0.64,0.64,0.64,2.56,0,0
30,0,0,0,0,0,0,0,0
