,Vector Gamma at each step k,,,,,,,
,1,2,3,4,5,6,7,8
0,0.21,0.22,0.22,0.22,0.32,0.32,0.32,0.32
1,0.11,0.12,0.12,0.12,0.12,0.03,0.03,0.03
2,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0
3,0,0,0.01,0.01,0.02,0.02,0.02,0.05
4,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
5,0.02,0.03,0.03,0.03,0.06,0.06,0.06,0.08
6,0.07,0.06,0.09,0.09,0.09,0.1,0.1,0.2
7,0.05,0.03,0.06,0.06,0.06,0.06,0.06,0.08
8,0.09,0.08,0.08,0.08,0.08,0.15,0,0
9,0.01,0.01,0.03,0.03,0.04,0.04,0.04,0.07
10,0.4,0.4,0.42,0.42,0,0,0,0
11,0.31,0.35,0.41,0,0,0,0,0
12,0.48,0.53,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0.38,0.45,0.45,0.45,0.45,0,0,0
16,0.05,0.06,0.06,0.06,0.06,0.11,0.11,0.17
17,0.66,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04
20,0.04,0.04,0.07,0.07,0.07,0.07,0.07,0.07
21,0.01,0.01,0.01,0.01,0.03,0.03,0.05,0.05
22,0.06,0.05,0.07,0.07,0.07,0.07,0.07,0.07
23,0.05,0.05,0.07,0.07,0.11,0.11,0.11,0.14
24,0,0,0,0,0.02,0.02,0.02,0.02
25,0,0,0,0,0,0,0,0
26,0.03,0.04,0.04,0.04,0.05,0.05,0.04,0.04
27,0.08,0.03,0.09,0.09,0.12,0.12,0.12,0.12
28,0.04,0.04,0.05,0.05,0.06,0.06,0.03,0.03
29,0.04,0.05,0.05,0.05,0.05,0.2,0,0
30,0,0,0,0,0,0,0,0
